scan_idx,x,y,ma_nm,msd_nm,fail
0,0.000,-0.128,7398.8,833.3,1
1,0.064,-0.096,7518.4,994.0,1
2,0.032,-0.096,7482.6,825.5,1
3,0.000,-0.096,7482.6,825.5,1
4,-0.032,-0.096,7482.6,825.5,1
5,-0.064,-0.096,7448.1,820.0,1
6,-0.096,-0.064,7429.3,704.4,1
7,-0.064,-0.064,7448.1,820.0,1
8,-0.032,-0.064,7448.1,820.0,1
9,0.000,-0.064,7448.1,820.0,1
10,0.032,-0.064,7448.1,820.0,1
11,0.064,-0.064,7482.6,825.5,1
12,0.096,-0.064,7482.6,825.5,1
13,0.096,-0.032,7518.4,994.0,1
14,0.064,-0.032,7482.6,825.5,1
15,0.032,-0.032,7482.6,825.5,1
16,0.000,-0.032,7482.6,825.5,1
17,-0.032,-0.032,7482.6,825.5,1
18,-0.064,-0.032,7482.6,825.5,1
19,-0.096,-0.032,7482.6,825.5,1
20,-0.128,0.000,7449.6,686.1,1
21,-0.096,0.000,7482.6,825.5,1
22,-0.064,0.000,7482.6,825.5,1
23,-0.032,0.000,7482.6,825.5,1
24,0.000,0.000,7482.6,825.5,1
25,0.032,0.000,7482.6,825.5,1
26,0.064,0.000,7482.6,825.5,1
27,0.096,0.000,7482.6,825.5,1
28,0.128,0.000,7482.5,825.5,1
29,0.096,0.032,7518.4,994.0,1
30,0.064,0.032,7482.6,825.5,1
31,0.032,0.032,7482.6,825.5,1
32,0.000,0.032,7482.6,825.5,1
33,-0.032,0.032,7482.6,825.5,1
34,-0.064,0.032,7482.6,825.5,1
35,-0.096,0.032,7482.6,825.5,1
36,-0.096,0.064,7449.6,686.1,1
37,-0.064,0.064,7482.6,825.5,1
38,-0.032,0.064,7482.6,825.5,1
39,0.000,0.064,7482.6,825.5,1
40,0.032,0.064,7482.6,825.5,1
41,0.064,0.064,7482.6,825.5,1
42,0.096,0.064,7482.6,825.5,1
43,0.064,0.096,7518.4,994.0,1
44,0.032,0.096,7482.6,825.5,1
45,0.000,0.096,7482.6,825.5,1
46,-0.032,0.096,7482.6,825.5,1
47,-0.064,0.096,7482.6,825.5,1
48,0.000,0.128,7449.7,686.1,1
